row_id,canonical_id,signature_key,path_pattern,generation_delta,side,consanguinity,gender_anchor,seniority,removal,double_kinship,temporal,category,english_term,notes,language_code,language_name,localized_term,variant_type,variant_rank
1,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,en,English,father,primary,0
2,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,hi,Hindi,पिता,primary,0
3,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ta,Tamil,தந்தை,primary,0
4,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,te,Telugu,తండ్రి,primary,0
5,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,bn,Bengali,পিতা,primary,0
6,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,mr,Marathi,वडील,primary,0
7,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ml,Malayalam,അച്ഛൻ,primary,0
8,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,kn,Kannada,ತಂದೆ,primary,0
9,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,gu,Gujarati,પિતા,primary,0
10,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,pa,Punjabi,ਪਿਤਾ,primary,0
11,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ur,Urdu,والد,primary,0
12,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,es,Spanish,padre,primary,0
13,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,fr,French,père,primary,0
14,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,de,German,Vater,primary,0
15,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ar,Arabic,أب,primary,0
16,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,zh,Chinese,父亲,primary,0
17,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ja,Japanese,父,primary,0
18,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ru,Russian,отец,primary,0
19,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,pt,Portuguese,pai,primary,0
20,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,id,Indonesian,ayah,primary,0
21,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,vi,Vietnamese,cha,primary,0
22,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,tr,Turkish,baba,primary,0
23,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,ko,Korean,아버지,primary,0
24,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on paternal side,it,Italian,padre,primary,0
25,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,en,English,mother,primary,0
26,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,hi,Hindi,माता,primary,0
27,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ta,Tamil,தாய்,primary,0
28,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,te,Telugu,తల్లి,primary,0
29,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,bn,Bengali,মাতা,primary,0
30,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,mr,Marathi,आई,primary,0
31,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ml,Malayalam,അമ്മ,primary,0
32,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,kn,Kannada,ತಾಯಿ,primary,0
33,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,gu,Gujarati,માતા,primary,0
34,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,pa,Punjabi,ਮਾਂ,primary,0
35,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ur,Urdu,والدہ,primary,0
36,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,es,Spanish,madre,primary,0
37,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,fr,French,mère,primary,0
38,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,de,German,Mutter,primary,0
39,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ar,Arabic,أم,primary,0
40,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,zh,Chinese,母亲,primary,0
41,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ja,Japanese,母,primary,0
42,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ru,Russian,мать,primary,0
43,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,pt,Portuguese,mãe,primary,0
44,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,id,Indonesian,ibu,primary,0
45,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,vi,Vietnamese,mẹ,primary,0
46,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,tr,Turkish,anne,primary,0
47,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,ko,Korean,어머니,primary,0
48,DERIVED,g=-1|p=UP_PARENT|s=paternal|c=blood|x=female|r=0|sn=none|d=0|t=current,UP_PARENT,-1,paternal,blood,female,none,0,False,current,direct_ancestor,mother,1-up on paternal side,it,Italian,madre,primary,0
49,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,en,English,father,primary,0
50,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,hi,Hindi,पिता,primary,0
51,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,ta,Tamil,தந்தை,primary,0
52,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,te,Telugu,తండ్రి,primary,0
53,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,bn,Bengali,পিতা,primary,0
54,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,mr,Marathi,वडील,primary,0
55,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,ml,Malayalam,അച്ഛൻ,primary,0
56,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,kn,Kannada,ತಂದೆ,primary,0
57,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,gu,Gujarati,પિતા,primary,0
58,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,pa,Punjabi,ਪਿਤਾ,primary,0
59,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,ur,Urdu,والد,primary,0
60,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,es,Spanish,padre,primary,0
61,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,fr,French,père,primary,0
62,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,de,German,Vater,primary,0
63,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,ar,Arabic,أب,primary,0
64,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,zh,Chinese,父亲,primary,0
65,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,ja,Japanese,父,primary,0
66,DERIVED,g=-1|p=UP_PARENT|s=maternal|c=blood|x=male|r=0|sn=none|d=0|t=current,UP_PARENT,-1,maternal,blood,male,none,0,False,current,direct_ancestor,father,1-up on maternal side,ru,Russian,отец,primary,0
